Brand;Model;Car_Info;User_Desc;Price;Price_Eval;Kilometer;Gear_Type;YearMonth;Fuel_Type;Horsepower;Consumption;CO2_Emission
Audi;A6;35 TDI VIRTUAL/LEDER/SPORT;Sportpaket, LED-Scheinwerfer, Volldigitales Kombiinstrument, Einparkhilfe Kamera, Ambientebeleuchtung, Elektrische Heckklappe, Elektrische Sitze, Alufelgen;€ 23.500,-;Sehr guter Preis;151.700 km;Automatik;03/2020;Diesel;120 kW (163 PS);4,3 l/100 km;112 g/km
Peugeot;2008;1.2 12V VTi / PureTech 82 Active *LED*PDC;Pannenkit, Sitzheizung, Touchscreen, Dachreling, Beifahrerairbag, Einparkhilfe Sensoren hinten, Elektrische Seitenspiegel, Wegfahrsperre;€ 6.993,-;Guter Preis;106.462 km;Schaltgetriebe;07/2015;Benzin;60 kW (82 PS);nan;nan
BMW;X1;xDrive 20d*Panorama*Tempomat*Klimaautom.*AHK;Nebelscheinwerfer, Allrad, Freisprecheinrichtung, Sommerreifen, Bluetooth, Anhängerkupplung, Schiebedach, Radio;€ 6.950,-;Guter Preis;260.598 km;Automatik;07/2011;Diesel;130 kW (177 PS);6,2 l/100 km;164 g/km
Volkswagen;Golf;2.0TDI Highline SHZ Kamera Tempomat 1. Hand;Einparkhilfe Sensoren vorne, Einparkhilfe Kamera, Einparkhilfe Sensoren hinten, 2-Zonen-Klimaautomatik, Alufelgen, Sommerreifen, Sportsitze, Start/Stop-Automatik;€ 9.950,-;Fairer Preis;249.985 km;Automatik;09/2015;Diesel;110 kW (150 PS);4,5 l/100 km;119 g/km
BMW;116;116 i - Sport/AHK/Alu/Klima;Radio, Sportfahrwerk, Bordcomputer, ABS, Zentralverriegelung mit Funkfernbedienung, Isofix, Traktionskontrolle, Armlehne;€ 8.990,-;Fairer Preis;129.800 km;Schaltgetriebe;03/2012;Benzin;100 kW (136 PS);5,5 l/100 km;130 g/km
Opel;Mokka X;1.6 CDTI Automatik Navi Color Innovation;Einparkhilfe Kamera, Sommerreifen, Einparkhilfe Sensoren vorne, Sitzheizung, LED-Scheinwerfer, Alufelgen, Kurvenlicht, Navigationssystem;€ 10.880,-;Sehr guter Preis;101.266 km;Automatik;06/2017;Diesel;100 kW (136 PS);nan;nan
Chevrolet;Captiva;2.2 LT+*NAVI*PDC*SHZ*LEDER*7-SITZER*4x4*;Viel Auto für Wenig Geld / wir sind immer für sie da;€ 9.990,-;Guter Preis;162.870 km;Automatik;04/2013;Diesel;135 kW (184 PS);6,6 l/100 km;175 g/km
Volkswagen;Tiguan;Sport R-Line 4Motion *BI-XENON*NAVI*TEMP;Anhängerkupplung, Getönte Scheiben, Allrad, Sitzheizung, Seitenairbag, Bluetooth, Navigationssystem, Multifunktionslenkrad;€ 17.999,-;Guter Preis;79.386 km;Automatik;05/2015;Diesel;130 kW (177 PS);5,9 l/100 km;154 g/km
Dacia;Duster;I Prestige 1.6 LPG Klima Leder Navi PDC;Über 400 Dacia Neuwagen im Bestand/3 Jahre Garantie;€ 6.990,-;Fairer Preis;160.000 km;Schaltgetriebe;06/2014;Autogas (LPG);77 kW (105 PS);7,1 l/100 km;165 g/km
BMW;X1;18d sDrive Automatik Becherhalter TÜV NEU;Seit 1963 Ihr KFZ-Meisterbetrieb in Mainz Bretzenheim;€ 11.990,-;Erhöhter Preis;157.000 km;Automatik;06/2012;Diesel;105 kW (143 PS);5,9 l/100 km;155 g/km
Skoda;Superb;2.0 TDI  Exclusive DSG ~LED~Bi-Xenon~Navi;Bi-Xenon Scheinwerfer, Start/Stop-Automatik, Navigationssystem, Anhängerkupplung, Bluetooth, Alufelgen, Getönte Scheiben, Einparkhilfe Sensoren hinten;€ 9.999,-;Fairer Preis;199.035 km;Automatik;11/2013;Diesel;103 kW (140 PS);4,6 l/100 km;122 g/km
Mercedes-Benz;B 180;CDI Navi/ PDC/ NSW/ SHZ;Fahrerairbag, Beifahrerairbag, Alufelgen, Sitzheizung, Navigationssystem, Start/Stop-Automatik, Einparkhilfe Sensoren hinten, Wegfahrsperre;€ 8.750,-;nan;103.783 km;Automatik;08/2013;Diesel;80 kW (109 PS);4,6 l/100 km;122 g/km
BMW;X1;18d sDrive Automatik Becherhalter TÜV NEU;Seit 1963 Ihr KFZ-Meisterbetrieb in Mainz Bretzenheim;€ 11.990,-;Erhöhter Preis;157.000 km;Automatik;06/2012;Diesel;105 kW (143 PS);5,9 l/100 km;155 g/km
Skoda;Superb;2.0 TDI  Exclusive DSG ~LED~Bi-Xenon~Navi;Bi-Xenon Scheinwerfer, Start/Stop-Automatik, Navigationssystem, Anhängerkupplung, Bluetooth, Alufelgen, Getönte Scheiben, Einparkhilfe Sensoren hinten;€ 9.999,-;Fairer Preis;199.035 km;Automatik;11/2013;Diesel;103 kW (140 PS);4,6 l/100 km;122 g/km
Renault;Espace;V Intens Energy dCi 160*7Sitzer*AT Motor bei 90tkm;Schiebedach, Klimaanlage, Soundsystem, Voll-LED Scheinwerfer, Elektrische Heckklappe, Anhängerkupplung, Verkehrszeichenerkennung, 2-Zonen-Klimaautomatik;€ 12.950,-;Guter Preis;166.000 km;Automatik;11/2015;Diesel;118 kW (160 PS);4,7 l/100 km;123 g/km
SEAT;Ibiza;*Navi*SitzHZ*Klima*Geplegt+Top*;Multifunktionslenkrad, Alufelgen, Klimaautomatik, Navigationssystem, Sitzheizung, Scheinwerferreinigung, E10-geeignet, Wegfahrsperre;€ 5.999,-;Fairer Preis;148.000 km;Schaltgetriebe;04/2013;Benzin;63 kW (86 PS);5,9 l/100 km;140 g/km
Volkswagen;Sharan;Comfortline 2.0 TDI Automatik/ Navi/ AHK;Elektrische Sitze, Radio, Getönte Scheiben, Apple CarPlay, Einparkhilfe Sensoren vorne, Alufelgen, Sportsitze, Navigationssystem;€ 14.990,-;Sehr guter Preis;159.215 km;Automatik;07/2016;Diesel;110 kW (150 PS);5,2 l/100 km;136 g/km
smart;forTwo;coupe Micro Hybrid Drive 52kW Panorama;Finanzierung ab 6,29% / Sofortankauf & Inzahlungnahme;€ 4.900,-;Guter Preis;111.580 km;Automatik;09/2012;Benzin;52 kW (71 PS);4,2 l/100 km;97 g/km
Mercedes-Benz;CLS 350;CDI 4Matic /NAVI/LED/AIRMATIC/CAM/GARANT;GARANTIE • FINANZIERUNG • LIEFERUNG • ZULASSUNG;€ 21.990,-;nan;110.000 km;Automatik;06/2012;Diesel;195 kW (265 PS);6,9 l/100 km;183 g/km
Skoda;Octavia;Ambition 1.5 Naturgas RFK TEMP APP KLIMA;Einparkhilfe Kamera, Einparkhilfe Sensoren hinten, Abstandstempomat, Isofix, Getönte Scheiben, Dachreling, Beifahrerairbag, Start/Stop-Automatik;€ 9.900,-;nan;211.222 km;Automatik;02/2021;Erdgas (CNG);96 kW (131 PS);nan;114 g/km
BMW;118;i Advantage Aut. *LED*NAVI*PDC*TEMPOMAT*;LED-Scheinwerfer, Navigationssystem, Sitzheizung, Sprachsteuerung, LED-Tagfahrlicht, 2-Zonen-Klimaautomatik, Einparkhilfe Sensoren hinten, Reifendruckkontrollsystem;€ 11.799,-;Sehr guter Preis;139.056 km;Automatik;02/2017;Benzin;100 kW (136 PS);5,1 l/100 km;119 g/km
Volkswagen;Touareg;"3.0 TDI R-Line +STANDHEIZ+AHK+LUFT+20""++";Papke Automobile in Werneck. Das etwas andere Autohaus.;€ 16.895,-;Fairer Preis;208.500 km;Automatik;06/2012;Diesel;180 kW (245 PS);nan;189 g/km
Nissan;Qashqai;Tekna 4x4 Navigation 8-fach;Allrad, Sitzheizung, LED-Scheinwerfer, Panoramadach, Navigationssystem, Beifahrerairbag, Elektrische Sitze, Radio;€ 11.800,-;Sehr guter Preis;109.000 km;Schaltgetriebe;05/2015;Diesel;96 kW (131 PS);4,9 l/100 km;129 g/km
Mercedes-Benz;E 220;Edition E BlueTec 4Matic+LEDER+NAVI+LED+;Allrad, Schiebedach, Elektrische Sitze, Sitzheizung, LED-Scheinwerfer, Einparkhilfe Sensoren vorne, Fahrerairbag, Freisprecheinrichtung;€ 15.990,-;Fairer Preis;193.322 km;Automatik;03/2015;Diesel;125 kW (170 PS);5,3 l/100 km;140 g/km
Mercedes-Benz;E 250;CGI BE Cabrio AMG-Line, Leder, Navi, 7G;Einparkhilfe Sensoren hinten, Sportfahrwerk, Lichtsensor, Sommerreifen, Navigationssystem, LED-Tagfahrlicht, Scheinwerferreinigung, Schaltwippen;€ 17.950,-;Sehr guter Preis;125.000 km;Automatik;04/2012;Benzin;150 kW (204 PS);7,0 l/100 km;166 g/km
Ford;Fiesta;1.25 Trend 5-Türer Klimaanlage CD-Radio;Klimaanlage, teilb. Rücksitzbank, Isofix, USB, Elektr. Fensterheber, Kopfairbag, Radio, Raucherpaket;€ 6.455,-;Guter Preis;75.800 km;Schaltgetriebe;03/2012;Benzin;60 kW (82 PS);nan;nan
Ford;Tourneo Custom;"2,0TDCI""Titanium""2Schiebetüren""9Sitze""";Einparkhilfe Kamera, Radio, Beifahrerairbag, Schiebetür links, Alufelgen, Getönte Scheiben, Isofix, Abstandstempomat;€ 19.990,-;nan;120.000 km;Automatik;06/2017;Diesel;125 kW (170 PS);nan;nan
Opel;Astra;GTC Edition;Sommerreifen, CD, teilb. Rücksitzbank, Alufelgen, Sportfahrwerk, Tempomat, Einparkhilfe Sensoren hinten, Kopfairbag;€ 6.590,-;Sehr guter Preis;148.900 km;Schaltgetriebe;05/2012;Benzin;103 kW (140 PS);5,9 l/100 km;140 g/km
Nissan;Micra;1,2 Acenta Autom, Klima;100% Vollfinanzierung über unsere Hausbank möglich;€ 6.990,-;nan;125.000 km;Automatik;07/2014;Benzin;59 kW (80 PS);5,4 l/100 km;125 g/km
Mitsubishi;ASX;1.6 Klassik Kollekt GEPFLEGT+SHZ+KAM+AHK+TEM;Touchscreen, Radio, Sitzheizung, Anhängerkupplung, Navigationssystem, Isofix, Alufelgen, Beifahrerairbag;€ 7.250,-;Fairer Preis;213.160 km;Schaltgetriebe;05/2015;Benzin;86 kW (117 PS);5,8 l/100 km;137 g/km
Mercedes-Benz;C 220;Lim. Avantgarde Ad Blue defekt!;Schiebedach, Alufelgen, Navigationssystem, Ambientebeleuchtung, Bordcomputer, Freisprecheinrichtung, LED-Scheinwerfer, Anhängerkupplung;€ 12.490,-;Sehr guter Preis;205.000 km;Automatik;06/2014;Diesel;125 kW (170 PS);4,0 l/100 km;110 g/km
Opel;Adam;1.2 Jam IntelliLink LED KLIMA TEMP SHZ;Alufelgen, Apple CarPlay, Multifunktionslenkrad, Sitzheizung, Tempomat, Bluetooth, Geschwindigkeits-begrenzungsanlage, USB;€ 3.999,-;nan;179.000 km;Schaltgetriebe;06/2016;Benzin;51 kW (69 PS);5,3 l/100 km;126 g/km
Ford;Focus;Titanium 1,0 125PS BI-Xenon/Navi/Winterp.;E10-geeignet, Einparkhilfe selbstlenkendes System, 2-Zonen-Klimaautomatik, Spurhalteassistent, Einparkhilfe Sensoren hinten, USB, Dachreling, Sitzheizung;€ 7.710,-;Sehr guter Preis;118.000 km;Schaltgetriebe;03/2015;Benzin;92 kW (125 PS);nan;nan
Volvo;XC70;D5 5 Zyl Momen AWD LEDER+MEMO+NAV+AHK+XEN+;Allrad, Sommerreifen, Fahrerairbag, Sprachsteuerung, Elektrische Sitze, Multifunktionslenkrad, Sitzheizung, Beifahrerairbag;€ 10.550,-;Sehr guter Preis;261.858 km;Schaltgetriebe;09/2012;Diesel;158 kW (215 PS);5,6 l/100 km;148 g/km
SEAT;Ibiza;SC Reference Salsa;Fahrerairbag, Klimaanlage, Beifahrerairbag, Pannenkit, Wegfahrsperre, Elektr. Fensterheber, ESP, Seitenairbag;€ 4.199,-;Sehr guter Preis;139.100 km;Schaltgetriebe;08/2013;Benzin;63 kW (86 PS);5,9 l/100 km;140 g/km
Mercedes-Benz;B 180;CDI Navi/ PDC/ NSW/ SHZ;Fahrerairbag, Beifahrerairbag, Alufelgen, Sitzheizung, Navigationssystem, Start/Stop-Automatik, Einparkhilfe Sensoren hinten, Wegfahrsperre;€ 8.750,-;nan;103.783 km;Automatik;08/2013;Diesel;80 kW (109 PS);4,6 l/100 km;122 g/km
Mercedes-Benz;A 180;AUTOMATIK LEDER PDC NAVI *TEXT LESEN*;Einparkhilfe Sensoren hinten, Sportpaket, Navigationssystem, Beifahrerairbag, Alufelgen, Ambientebeleuchtung, Einparkhilfe Sensoren vorne, Sitzheizung;€ 9.990,-;Sehr guter Preis;145.006 km;Automatik;07/2014;Benzin;90 kW (122 PS);5,5 l/100 km;130 g/km
Mercedes-Benz;E 220;CDI w212 *CO²-126g*AVANTGARDE*LED*COMAND*LEDER*;LED-Scheinwerfer, Navigationssystem, Abstandstempomat, Einparkhilfe Sensoren hinten, Verkehrszeichenerkennung, Elektrische Sitze, Einparkhilfe Sensoren vorne, Alufelgen;€ 10.800,-;Guter Preis;253.600 km;Schaltgetriebe;02/2014;Diesel;125 kW (170 PS);5,1 l/100 km;126 g/km
Skoda;Octavia;Combi 1.6 TDI Ambition PDChi|Tempo|Klima;Fahrerairbag, Klimaanlage, Sitzheizung, ABS, Dachreling, Tempomat, Beifahrerairbag, Sommerreifen;€ 5.400,-;Sehr guter Preis;218.843 km;Automatik;11/2014;Diesel;77 kW (105 PS);nan;nan
MINI;Cooper;+nur an Händler/Export+;Fahrerairbag, Radio, Nebelscheinwerfer, Lederlenkrad, Beifahrerairbag, Elektrische Sitze, Klimaanlage, Pannenkit;€ 4.500,-;Sehr guter Preis;126.792 km;Schaltgetriebe;01/2012;Benzin;90 kW (122 PS);nan;nan
Kia;Sportage;1.6 GDI 2WD Attract;Pannenkit, Alufelgen, Wegfahrsperre, Klimaanlage, Servolenkung, Elektrische Seitenspiegel, Armlehne, Tagfahrlicht;€ 9.950,-;Sehr guter Preis;41.000 km;Schaltgetriebe;08/2013;Benzin;99 kW (135 PS);6,8 l/100 km;158 g/km
Opel;Corsa;1.2 Selection Klima 5türig ISA Mod. 2015;Klimaanlage, E10-geeignet, Pannenkit, Beifahrerairbag, Bluetooth, Seitenairbag, USB, Elektr. Fensterheber;€ 5.590,-;Sehr guter Preis;80.281 km;Schaltgetriebe;10/2014;Benzin;51 kW (69 PS);5,5 l/100 km;146 g/km
Mercedes-Benz;E 250;d T-Modell/NAVI/LEDER/AHK/TEMPOMAT;Lederlenkrad, Freisprecheinrichtung, Anhängerkupplung, Soundsystem, Alufelgen, Sitzheizung, Luftfederung, Radio;€ 10.900,-;Sehr guter Preis;234.138 km;Automatik;04/2013;Diesel;150 kW (204 PS);5,1 l/100 km;135 g/km
Ford;Focus;Lim. Titanium Euro5,Navi,Klimaaut.;Touchscreen, Klimaautomatik, Einparkhilfe Sensoren hinten, Getönte Scheiben, Einparkhilfe Sensoren vorne, Alufelgen, Klimaanlage, Tempomat;€ 4.900,-;Sehr guter Preis;239.661 km;Schaltgetriebe;03/2015;Diesel;85 kW (116 PS);4,2 l/100 km;111 g/km
Renault;ZOE;Zen 22 KW KLIMA NAVI TEMPOMAT;Inzahlungnahme und Finanzierung oder Leasing möglich; ;nan;nan;nan;nan;nan;nan;nan;nan
Opel;Astra;J Design Edition 1/2026 Tüv/Zahnriemen Neu;Anhängerkupplung, Beifahrerairbag, Einparkhilfe Sensoren hinten, Lichtsensor, Lederlenkrad, Innenspiegel automatisch abblendend, Sportfahrwerk, Sportsitze;€ 2.500,-;Sehr guter Preis;318.000 km;Schaltgetriebe;01/2012;Diesel;92 kW (125 PS);4,5 l/100 km;119 g/km
Volkswagen;up!;1.0  move Klima+Sitzheizung;Sitzheizung, Klimaautomatik, Raucherpaket, Pannenkit, Lederlenkrad, MP3, teilb. Rücksitzbank, Multifunktionslenkrad;€ 6.480,-;Sehr guter Preis;129.980 km;Schaltgetriebe;05/2017;Benzin;44 kW (60 PS);nan;nan
Mitsubishi;Outlander;ClearTec Invite 2.2D 2WD/7 SITZPLÄTZE;Radio, Traktionskontrolle, Bluetooth, Fahrerairbag, Multifunktionslenkrad, Bordcomputer, Freisprecheinrichtung, Start/Stop-Automatik;€ 7.999,-;Fairer Preis;176.000 km;Schaltgetriebe;12/2014;Diesel;110 kW (150 PS);4,8 l/100 km;127 g/km
Opel;Adam;1.2 Jam IntelliLink LED KLIMA TEMP SHZ;Alufelgen, Apple CarPlay, Multifunktionslenkrad, Sitzheizung, Tempomat, Bluetooth, Geschwindigkeits-begrenzungsanlage, USB;€ 3.999,-;nan;179.000 km;Schaltgetriebe;06/2016;Benzin;51 kW (69 PS);5,3 l/100 km;126 g/km
Volkswagen;Tiguan;2.0 TDI DPF 4Motion BlueMotion Techn. DSG Sport;Elektrische Sitze, Panoramadach, Sprachsteuerung, Geschwindigkeits-begrenzungsanlage, Einparkhilfe Kamera, Tempomat, Navigationssystem, Bi-Xenon Scheinwerfer;€ 13.999,-;Sehr guter Preis;156.000 km;Automatik;11/2013;Diesel;130 kW (177 PS);5,9 l/100 km;154 g/km
Kia;Sportage;2.0 CDRi Spirit 4WD Navi Leder P-Dach;Panoramadach, Seitenairbag, Allrad, Navigationssystem, Sitzheizung, Scheinwerferreinigung, Geschwindigkeits-begrenzungsanlage, Beifahrerairbag;€ 11.980,-;Sehr guter Preis;91.152 km;Automatik;08/2012;Diesel;135 kW (184 PS);7,2 l/100 km;189 g/km
Hyundai;iX35;1.6 Comfort 2WD  AHK/Klima/SHZ;Anhängerkupplung, Sitzheizung, Dachreling, Armlehne, Traktionskontrolle, Wegfahrsperre, Multifunktionslenkrad, Bluetooth;€ 9.910,-;Sehr guter Preis;69.197 km;Schaltgetriebe;04/2014;Benzin;99 kW (135 PS);nan;nan
BMW;320;i Lim. *BI-XENON*NAVI*PDC*TEMPOMAT*VOLLEDER*;Getönte Scheiben, Einparkhilfe Sensoren vorne, Reifendruckkontrollsystem, Bi-Xenon Scheinwerfer, Navigationssystem, Tagfahrlicht, Sitzheizung, Gepäckraumabtrennung;€ 11.999,-;Sehr guter Preis;142.750 km;Schaltgetriebe;06/2014;Benzin;135 kW (184 PS);6,3 l/100 km;149 g/km
Nissan;X-Trail;2.0d 4X4 /NAVI/XENON/AHK/LEDER/PANO;GARANTIE • FINANZIERUNG • LIEFERUNG • ZULASSUNG;€ 7.990,-;nan;241.000 km;Schaltgetriebe;08/2012;Diesel;127 kW (173 PS);6,4 l/100 km;170 g/km
Skoda;Octavia;Combi RS *NAVI*Bi-Xenon*PDC*;Finanzierung auch ohne Anzahlung möglich;€ 10.699,-;Sehr guter Preis;163.143 km;Automatik;09/2014;Diesel;135 kW (184 PS);4,8 l/100 km;126 g/km
Volkswagen;Touran;Life BMT *KAMERA*NAVI*PDC*SHZ*MFL*AHK*;Anhängerkupplung, Sitzheizung, Alufelgen, Start/Stop-Automatik, Navigationssystem, Einparkhilfe Sensoren vorne, 2-Zonen-Klimaautomatik, Geschwindigkeits-begrenzungsanlage;€ 8.999,-;Sehr guter Preis;175.451 km;Schaltgetriebe;02/2013;Diesel;103 kW (140 PS);4,8 l/100 km;125 g/km
Dacia;Sandero;II Laureate;Klimaanlage, Bluetooth, Touchscreen, Pannenkit, Bordcomputer, Isofix, Beifahrerairbag, Wegfahrsperre;€ 2.999,-;Sehr guter Preis;172.000 km;Schaltgetriebe;03/2013;Autogas (LPG);55 kW (75 PS);6,1 l/100 km;138 g/km
Mercedes-Benz;A 180;A 180 CDI / d BlueEfficiency (176.012);Start/Stop-Automatik, Tagfahrlicht, Sportsitze, Einparkhilfe selbstlenkendes System, Xenonscheinwerfer, Elektronische Parkbremse, Navigationssystem, Sitzheizung;€ 8.500,-;Guter Preis;213.000 km;Schaltgetriebe;10/2012;Diesel;80 kW (109 PS);3,8 l/100 km;101 g/km
Volkswagen;CC;Basis BMT 4Motion Automatik  TÜV/HU/NEU;Allrad, Navigationssystem, Regensensor, Sportsitze, Sportpaket, Ambientebeleuchtung, Elektr. Fensterheber, Einparkhilfe Kamera;€ 11.300,-;Sehr guter Preis;211.521 km;Automatik;04/2014;Diesel;130 kW (177 PS);5,2 l/100 km;149 g/km
Citroen;C4 Cactus;BlueHDi TÜV und HU neu bis Zahnriemen neu;Klimaautomatik, Fahrerairbag, Touchscreen, Zentralverriegelung mit Funkfernbedienung, Elektr. Fensterheber, Dachreling, Geschwindigkeits-begrenzungsanlage, Multifunktionslenkrad;€ 6.000,-;Guter Preis;175.250 km;Schaltgetriebe;08/2014;Diesel;73 kW (99 PS);3,1 l/100 km;82 g/km
Mercedes-Benz;GLK 220;CDI 4Matic 7G-Tronic/PDC/NAVI/AHK;Einparkhilfe selbstlenkendes System, Anhängerkupplung, Sportfahrwerk, Start/Stop-Automatik, CD, Navigationssystem, Traktionskontrolle, Elektrische Sitze;€ 16.890,-;Sehr guter Preis;109.000 km;Automatik;10/2012;Diesel;125 kW (170 PS);nan;nan
Skoda;Fabia;1.2TSI Combi Cool Edition+KLIMA+PDC+ISOFIX;Alufelgen, Klimaanlage, Pannenkit, teilb. Rücksitzbank, Elektrische Seitenspiegel, Katalysator, MP3, Touchscreen;€ 7.450,-;Sehr guter Preis;126.000 km;Schaltgetriebe;04/2016;Benzin;66 kW (90 PS);nan;nan
BMW;X3;xDrive 20 d 20d Navi Leder Bi-Xenon ACC El. Heckkl;LED-Tagfahrlicht, Gepäckraumabtrennung, Xenonscheinwerfer, Tagfahrlicht, Innenspiegel automatisch abblendend, Allrad, Klimaanlage, Alufelgen;€ 15.990,-;Guter Preis;80.000 km;Schaltgetriebe;04/2012;Diesel;135 kW (184 PS);6,5 l/100 km;235 g/km
BMW;X3;Baureihe X3 xDrive 20 d M-Sport-Paket Xenon;Einparkhilfe Sensoren vorne, Sportfahrwerk, Sommerreifen, Sportpaket, Navigationssystem, Allrad, Start/Stop-Automatik, Bi-Xenon Scheinwerfer;€ 9.990,-;Guter Preis;235.000 km;Schaltgetriebe;12/2012;Diesel;135 kW (184 PS);5,6 l/100 km;148 g/km
Mercedes-Benz;Vito;Kombi 116 CDI lang Klima 9 Sitze;Klimaanlage, Beifahrerairbag, Start/Stop-Automatik, Getönte Scheiben, Schiebetür rechts, Lederlenkrad, Tagfahrlicht, Multifunktionslenkrad;€ 8.990,-;Fairer Preis;330.000 km;Schaltgetriebe;07/2013;Diesel;120 kW (163 PS);7,4 l/100 km;196 g/km
Mercedes-Benz;ML 350;CDI BT AMG Leder,Navi,Xenon,SH,SD,360° Kam;Finanzierung ab 6,29% / Sofortankauf & Inzahlungnahme;€ 22.500,-;Sehr guter Preis;144.440 km;Automatik;04/2013;Diesel;190 kW (258 PS);6,8 l/100 km;180 g/km
Opel;Adam;1.2 Jam IntelliLink LED KLIMA TEMP SHZ;Alufelgen, Apple CarPlay, Multifunktionslenkrad, Sitzheizung, Tempomat, Bluetooth, Geschwindigkeits-begrenzungsanlage, USB;€ 3.999,-;nan;179.000 km;Schaltgetriebe;06/2016;Benzin;51 kW (69 PS);5,3 l/100 km;126 g/km
Mercedes-Benz;Sprinter;313 CDI L2H1|AC|AHK|TÜV 8'2026|BREMSneu;Klimaanlage, Armlehne, USB, Elektrische Seitenspiegel, Radio, Anhängerkupplung, Zentralverriegelung;€ 7.800,-;Sehr guter Preis;393.331 km;Schaltgetriebe;06/2015;Diesel;95 kW (129 PS);8,0 l/100 km;212 g/km
Nissan;Qashqai;360° Navi SHZ Tempomat Pano;Tempomat, Beifahrerairbag, Panoramadach, Navigationssystem, Fahrerairbag, Sitzheizung, Armlehne, Innenspiegel automatisch abblendend;€ 7.999,-;Guter Preis;221.900 km;Schaltgetriebe;05/2015;Diesel;81 kW (110 PS);3,8 l/100 km;99 g/km
Audi;A6;Avant 3.0 TDI quattro ACC AHK LED STANDHZ.;Einparkhilfe Kamera, Sportsitze, LED-Scheinwerfer, Freisprecheinrichtung, Sportfahrwerk, Elektrische Seitenspiegel, Standheizung, Anhängerkupplung;€ 17.440,-;Guter Preis;198.000 km;Automatik;12/2015;Diesel;200 kW (272 PS);nan;nan
Volkswagen;Tiguan;Cup Sport;Sportsitze, Einparkhilfe Sensoren vorne, Isofix, Einparkhilfe selbstlenkendes System, Start/Stop-Automatik, Lederlenkrad, Multifunktionslenkrad, Einparkhilfe Sensoren hinten;€ 7.499,-;Guter Preis;254.300 km;Schaltgetriebe;07/2014;Diesel;81 kW (110 PS);5,3 l/100 km;139 g/km
Mercedes-Benz;A 200;BlueEfficiency NAVI*SHZ*PANO;USB, Navigationssystem, Einparkhilfe Sensoren hinten, Panoramadach, Sportpaket, Sitzheizung, Einparkhilfe Kamera, Zentralverriegelung;€ 12.990,-;Sehr guter Preis;142.915 km;Automatik;06/2014;Benzin;115 kW (156 PS);5,5 l/100 km;130 g/km
Citroen;C4 Cactus;Feel;Einparkhilfe Kamera, Bordcomputer, Alufelgen, Regensensor, Sommerreifen, Sitzheizung, Einparkhilfe Sensoren hinten, Bluetooth;€ 5.790,-;Fairer Preis;161.465 km;Schaltgetriebe;11/2015;Benzin;81 kW (110 PS);4,7 l/100 km;107 g/km
Mercedes-Benz;C 200;D w205 AVANTGARDE *Co²-106g *LEDER*NAVI*2.HAND;Sportsitze, Sportpaket, Alufelgen, Getönte Scheiben, Elektrische Sitze, Einparkhilfe Sensoren vorne, Lederlenkrad, Einparkhilfe Sensoren hinten;€ 15.000,-;Guter Preis;153.988 km;Schaltgetriebe;07/2015;Diesel;100 kW (136 PS);3,9 l/100 km;106 g/km
Audi;A6;2.0 TDI*S-Line*STANDHZ/KAMERA/AHK/20Z/GARANTIE;Sportfahrwerk, Anhängerkupplung, Start/Stop-Automatik, Sportsitze, Standheizung, Scheinwerferreinigung, Navigationssystem, Sportpaket;€ 16.990,-;Sehr guter Preis;122.000 km;Schaltgetriebe;05/2012;Diesel;130 kW (177 PS);5,0 l/100 km;133 g/km
Volkswagen;Polo;TSI Lounge;Sitzheizung, LED-Scheinwerfer, Alufelgen, 2-Zonen-Klimaautomatik, Einparkhilfe Sensoren hinten, Pannenkit, Bluetooth, Nebelscheinwerfer;€ 8.990,-;Sehr guter Preis;98.890 km;Schaltgetriebe;12/2015;Benzin;66 kW (90 PS);5,1 l/100 km;107 g/km
Fiat;Scudo;12 L2H1 130 Multijet;Bluetooth, Alufelgen, Freisprecheinrichtung, USB, Beifahrerairbag, Zentralverriegelung mit Funkfernbedienung, MP3, Reserverad;€ 3.800,-;Sehr guter Preis;206.252 km;Schaltgetriebe;09/2014;Diesel;94 kW (128 PS);nan;nan
Volkswagen;Golf;VII Lim. Highline *ACC*BI-XENON*NAVI*PDC*;Bi-Xenon Scheinwerfer, Start/Stop-Automatik, Sportsitze, Einparkhilfe Sensoren hinten, Alufelgen, 2-Zonen-Klimaautomatik, Einparkhilfe Sensoren vorne, Fahrerairbag;€ 9.899,-;Fairer Preis;180.244 km;Automatik;10/2013;Benzin;103 kW (140 PS);4,7 l/100 km;110 g/km
Mercedes-Benz;CLA 200;*NAVI*TEMPOMAT*SZHZ*PDC*;Alufelgen, Getönte Scheiben, Navigationssystem, Multifunktionslenkrad, Soundsystem, Einparkhilfe Sensoren vorne, Lichtsensor, Sitzheizung;€ 13.799,-;Sehr guter Preis;145.161 km;Schaltgetriebe;10/2015;Diesel;100 kW (136 PS);4,3 l/100 km;111 g/km
Mercedes-Benz;B 180;B180 AMG Sport Leder Sitzheizung PDC Bi-Xenon;Seit 1963 Ihr KFZ-Meisterbetrieb in Mainz Bretzenheim;€ 10.990,-;Sehr guter Preis;90.000 km;Schaltgetriebe;10/2013;Benzin;90 kW (122 PS);5,9 l/100 km;140 g/km
