Brand;Model;Car_Info;User_Desc;Price;Price_Eval;Kilometer;Gear_Type;YearMonth;Fuel_Type;Horsepower;Consumption;CO2_Emission;Marketplace
Toyota;Yaris;1.0 VVT-i Edition 2014;MEISTERGEPRÜFT;€ 4.910;nan;238.496 km;Schaltgetriebe;12/2013;Benzin;51 kW (69 PS);nan;nan;Autoscout24.de
BMW;218;*Aut.*Klimaaut.*PDC*AHK*7xSitzer*;Klimaanlage, Multifunktionslenkrad, Anhängerkupplung, Elektr. Fensterheber, Sommerreifen, Alufelgen, Dachreling, Ambientebeleuchtung;€ 13.990;Fairer Preis;97.897 km;Automatik;11/2015;Benzin;100 kW (136 PS);5,3 l/100 km;126 g/km;Autoscout24.de
MINI;Cooper Cabrio;Salt 1.5 AUT KLIMAAUT BT PDC ALU GJR ParkAss LM 2x;Sportsitze, Ambientebeleuchtung, Freisprecheinrichtung, Bluetooth, Einparkhilfe Sensoren hinten, Traktionskontrolle, 2-Zonen-Klimaautomatik, Radio;€ 12.475;nan;96.212 km;Automatik;09/2016;Benzin;100 kW (136 PS);nan;nan;Autoscout24.de
Mazda;CX-3;Center-Line Anhängerkupplung;Alufelgen, MP3, Touchscreen, Pannenkit, Notbremsassistent, Klimaautomatik, CD, Tempomat;€ 11.990;Guter Preis;102.000 km;Schaltgetriebe;11/2015;Benzin;88 kW (120 PS);nan;nan;Autoscout24.de
Opel;Mokka X;1.6 Selection Start/Stop*AHK*KLIMA;Dachreling, Tempomat, Anhängerkupplung, Wegfahrsperre, E10-geeignet, Gepäckraumabtrennung, Reserverad, Klimaanlage;€ 9.590;Guter Preis;100.000 km;Schaltgetriebe;12/2016;Benzin;85 kW (116 PS);6,6 l/100 km;155 g/km;Autoscout24.de
Hyundai;iX35;Comfort 2WD AHK*SHZ*PDC*Klima;Sitzheizung, Anhängerkupplung, Beifahrerairbag, Multifunktionslenkrad, 2-Zonen-Klimaautomatik, Klimaanlage, Getönte Scheiben, Bordcomputer;€ 9.460;Guter Preis;124.700 km;Schaltgetriebe;12/2013;Benzin;100 kW (136 PS);5,8 l/100 km;154 g/km;Autoscout24.de
Audi;Q5;2.0d Quatt Design MATRIX+VIRTU+NAV+KAM+ACC+SH;Volldigitales Kombiinstrument, 3-Zonen-Klimaautomatik, Elektrische Heckklappe, Sportpaket, Apple CarPlay, Navigationssystem, LED-Scheinwerfer, Allrad;€ 20.450;nan;161.231 km;Automatik;09/2017;Diesel;120 kW (163 PS);5,0 l/100 km;129 g/km;Autoscout24.de
BMW;M3;Compet CARBON+360°+MEMO+H&K+VIRTU+HEAD+LASER+;Sportfahrwerk, Spurhalteassistent, Schaltwippen, Notbremsassistent, Sportpaket, Sommerreifen, Head-up display, Ambientebeleuchtung;€ 59.950;nan;59.676 km;Automatik;07/2021;Benzin;375 kW (510 PS);nan;nan;Autoscout24.de
BMW;120;120d xDrive Autom.,Navig,el.GSD,Harman/Kardon;Car Garantie incl.;€ 13.900;Sehr guter Preis;116.000 km;Automatik;07/2016;Diesel;140 kW (190 PS);nan;nan;Autoscout24.de
Aixam;City;Sport Mopedauto Leichtmobile Microcar 45 KM;Sportsitze, Sportpaket, Einparkhilfe Sensoren hinten, Alufelgen, Radio;€ 6.950;nan;9.741 km;Automatik;08/2017;Diesel;4 kW (5 PS);nan;nan;Autoscout24.de
Ford;Tourneo Courier;Titanium GRA PDC SHZ Navi Klima;Bundesweiter Transport und Zulassung möglich!;€ 8.995;Guter Preis;111.450 km;Schaltgetriebe;10/2014;Benzin;74 kW (101 PS);nan;nan;Autoscout24.de
Opel;Vivaro;8043;Behindertengerecht, Schiebetür rechts, Armlehne, Stahlfelgen, Lederlenkrad, Radio;€ 9.988;Guter Preis;119.000 km;Schaltgetriebe;12/2014;Diesel;66 kW (90 PS);nan;nan;Autoscout24.de
MINI;Cooper S Clubman;"Automatik Klima Einparkhilfe LED Tempomat 17""Alu";LED-Scheinwerfer, Sportfahrwerk, ABS, Alufelgen, 2-Zonen-Klimaautomatik, Sportsitze, Sportpaket, ESP;€ 13.980;Sehr guter Preis;110.438 km;Automatik;12/2016;Benzin;141 kW (192 PS);6,2 l/100 km;147 g/km;Autoscout24.de
BMW;420;d XDrive Sportline Leder Automatik BiXenon;Sportfahrwerk, Sportpaket, Sportsitze, Schiebedach, Einparkhilfe Kamera, Navigationssystem, teilb. Rücksitzbank, Allrad;€ 19.499;Sehr guter Preis;122.000 km;Automatik;12/2015;Diesel;140 kW (190 PS);nan;nan;Autoscout24.de
Mazda;3;Lim. 2.0 OPTIMUM NAVI/LED/KAMERA/TEMP./HUD/AHK;Sitzheizung, Sportsitze, Tempomat, 2-Zonen-Klimaautomatik, Bi-Xenon Scheinwerfer, Lederlenkrad, Navigationssystem, Beifahrerairbag;€ 14.400;Sehr guter Preis;112.950 km;Automatik;05/2018;Benzin;88 kW (120 PS);5,6 l/100 km;129 g/km;Autoscout24.de
Opel;Corsa-e;Elegance Electric | Navi | RFK | 11 kW |;Einparkhilfe Kamera, Regensensor, Lederlenkrad, Berganfahrassistent, Navigationssystem, Elektrische Seitenspiegel, Induktionsladen für Smartphones, Alufelgen; ;nan;nan;nan;nan;nan;nan;nan;nan;Autoscout24.de
Mercedes-Benz;E 350;E 350 e Plug in Hybrid, Luft, LED, DAB, Navi;Elektrische Sitze, Alarmanlage, Ambientebeleuchtung, teilb. Rücksitzbank, Einparkhilfe Kamera, Fahrerairbag, 2-Zonen-Klimaautomatik, Sitzheizung; ;nan;nan;nan;nan;nan;nan;nan;nan;Autoscout24.de
Mercedes-Benz;GLC 220;GLC 220 d 4M AHK Totwkl Kamera AMG-int. LED-ILS;Allrad, Einparkhilfe Kamera, Anhängerkupplung, Elektrische Heckklappe, W-Lan / Wifi Hotspot, Sitzheizung, Voll-LED Scheinwerfer, CD;€ 27.900;Sehr guter Preis;112.000 km;Automatik;01/2019;Diesel;125 kW (170 PS);5,0 l/100 km;129 g/km;Autoscout24.de
SEAT;Altea XL;Style Ecomotive;Alufelgen, Fahrerairbag, Allwetterreifen, USB, Start/Stop-Automatik, ABS, Servolenkung, Elektrische Seitenspiegel;€ 4.490;Sehr guter Preis;153.000 km;Schaltgetriebe;12/2012;Diesel;77 kW (105 PS);4,5 l/100 km;119 g/km;Autoscout24.de
Mercedes-Benz;E 63 AMG;E 63 T 5.5 Bi-Turbo 665PS Pano Keyless Distronic;Qualität - Zuverlässigkeit - Sicherheit;€ 34.999;Sehr guter Preis;136.800 km;Automatik;09/2012;Benzin;488 kW (663 PS);10,0 l/100 km;234 g/km;Autoscout24.de
Ford;Focus;Turnier Business Klima+PDC+Navi+Allwetter;Klimaanlage, Touchscreen, Beheizbare Frontscheibe, Pannenkit, Wegfahrsperre, USB, E10-geeignet, Bluetooth;€ 8.880;Fairer Preis;89.786 km;Schaltgetriebe;02/2014;Benzin;92 kW (125 PS);5,1 l/100 km;121 g/km;Autoscout24.de
Toyota;Yaris;1.5 Hybrid Club Automatik | Panorama | CAM;Panoramadach, Freisprecheinrichtung, Klimaanlage, Radio, Bluetooth, Touchscreen, Wegfahrsperre, Multifunktionslenkrad; ;nan;nan;Automatik;nan;nan;nan;nan;nan;Autoscout24.de
Mercedes-Benz;E 300;E 300 BlueTEC T Avantgarde Distr./Sthzg/ILS/AHK;Einparkhilfe Kamera, Einparkhilfe selbstlenkendes System, Sportpaket, Sommerreifen, Müdigkeitswarnsystem, Navigationssystem, Totwinkel-Assistent, Schiebedach;€ 12.490;Guter Preis;269.900 km;Automatik;10/2013;Diesel;170 kW (231 PS);5,7 l/100 km;151 g/km;Autoscout24.de
Jeep;Compass;1.3l T4-PHEV 177kW Upland Auto. 4WD;Allrad, Winterpaket, E10-geeignet, Soundsystem, LED-Scheinwerfer, Android Auto, Beheizbares Lenkrad, Navigationssystem; ;nan;nan;nan;nan;nan;nan;nan;nan;Autoscout24.de
BMW;X1;xDrive25e Advantage / AHK / Rückfahrkamera;Sportsitze, Allrad, Einparkhilfe Kamera, Sitzheizung, LED-Scheinwerfer, Alufelgen, E10-geeignet, Reifendruckkontrollsystem; ;nan;nan;nan;nan;nan;nan;nan;nan;Autoscout24.de
Skoda;Yeti;Adventure 1.4 TSI SHZ Temp PDC Berganfahrass. EXPO;Größtes Renault Autohaus im Landkreis München & Freisin;€ 7.800;Fairer Preis;132.000 km;Schaltgetriebe;10/2013;Benzin;90 kW (122 PS);nan;nan;Autoscout24.de
Mazda;CX-5;Automatik 2.2 D SKYACTIVE 4x4 Exceed;Seit 1963 Ihr KFZ-Meisterbetrieb in Mainz Bretzenheim;€ 13.490;Fairer Preis;136.070 km;Automatik;10/2014;Diesel;110 kW (150 PS);5,5 l/100 km;144 g/km;Autoscout24.de
Opel;Zafira;C Active 7Sitze Navi AHK PDC Sitz+LR hzg;Isofix, Navigationssystem, Anhängerkupplung, Alufelgen, Sitzheizung, Einparkhilfe Sensoren vorne, Beifahrerairbag, 2-Zonen-Klimaautomatik;€ 12.490;Sehr guter Preis;95.000 km;Schaltgetriebe;05/2017;Benzin;103 kW (140 PS);6,4 l/100 km;148 g/km;Autoscout24.de
Fiat;500C;Lounge 1.2 8V Faltdach Klimaautom PDC;Katalysator, MP3, Einparkhilfe Sensoren hinten, Klimaautomatik, Alufelgen, Multifunktionslenkrad, Navigationssystem, Zentralverriegelung;€ 7.900;Guter Preis;98.200 km;Schaltgetriebe;04/2015;Benzin;51 kW (69 PS);nan;nan;Autoscout24.de
Opel;Astra;K Sports Tourer Elegance LED-Sitz&Lenkradh;Dachreling, Touchscreen, Spurhalteassistent, Sommerreifen, Pannenkit, LED-Scheinwerfer, Apple CarPlay, Nebelscheinwerfer;€ 9.990;Sehr guter Preis;124.976 km;Schaltgetriebe;02/2020;Benzin;96 kW (131 PS);4,5 l/100 km;102 g/km;Autoscout24.de
Audi;S1;2.0 TFSI quattro 1. Hd./Bi-Xenon/Bose Sound/Leder/;Multifunktionslenkrad, Bluetooth, Sportsitze, Allrad, Sportfahrwerk, MP3, Seitenairbag, Sommerreifen;€ 23.810;Sehr guter Preis;25.624 km;Schaltgetriebe;05/2018;Benzin;170 kW (231 PS);nan;nan;Autoscout24.de
Mercedes-Benz;Citan;Kombi 111 CDI lang Klima Tüv neu;Klimaanlage, Beifahrerairbag, Alufelgen, Lederlenkrad, 2-Zonen-Klimaautomatik, Regensensor, Schiebetür rechts, Sitzheizung;€ 11.600;Sehr guter Preis;88.000 km;Schaltgetriebe;03/2016;Diesel;81 kW (110 PS);4,7 l/100 km;125 g/km;Autoscout24.de
Mercedes-Benz;C 180;CGI BlueEfficiency Lim/2.HD SCHECKH/NAVI;Sportsitze, Multifunktionslenkrad, Fahrerairbag, Navigationssystem, Freisprecheinrichtung, Elektrische Sitze, Sitzheizung, Zentralverriegelung;€ 15.880;Erhöhter Preis;74.912 km;Automatik;03/2012;Benzin;115 kW (156 PS);7,6 l/100 km;180 g/km;Autoscout24.de
Skoda;Octavia;OCTAVIA RS 2.0 TDI COMBI NAVI XENON SHZ PDC AHK;FINANZIERUNG ab 3,99%++GARANTIE bis 36 Monate++ANKAUF;€ 11.950;Fairer Preis;190.000 km;Schaltgetriebe;04/2014;Diesel;135 kW (184 PS);4,6 l/100 km;122 g/km;Autoscout24.de
Volkswagen;Eos;Basis BMT*Navi*Pdc*Shz*Klimaautomatik;Navigationssystem, Schiebedach, Start/Stop-Automatik, Beifahrerairbag, Sitzheizung, Freisprecheinrichtung, Müdigkeitswarnsystem, E10-geeignet;€ 12.499;Fairer Preis;65.200 km;Schaltgetriebe;02/2012;Benzin;90 kW (122 PS);6,2 l/100 km;144 g/km;Autoscout24.de
Audi;A4;Avant 1.8 TFSI Ambiente, Standheiz., Navi;Sommerreifen, Alufelgen, Fahrerairbag, Bluetooth, Armlehne, Pannenkit, Einparkhilfe Sensoren hinten, Elektronische Parkbremse;€ 6.450;Sehr guter Preis;123.000 km;Schaltgetriebe;07/2011;Benzin;88 kW (120 PS);7,2 l/100 km;171 g/km;Autoscout24.de
Opel;Insignia;A Lim. 150 Jahre Opel/NAVI/RADIO/KLIMA;Fahrerairbag, Einparkhilfe Sensoren vorne, Beifahrerairbag, Navigationssystem, Freisprecheinrichtung, Sprachsteuerung, Alufelgen, Einparkhilfe Sensoren hinten;€ 8.900;Sehr guter Preis;66.778 km;Schaltgetriebe;03/2013;Diesel;96 kW (131 PS);5,8 l/100 km;154 g/km;Autoscout24.de
Ford;Tourneo Courier;1.0 TREND 5-SITZER KLIMA/SHZ/AHK;Getönte Scheiben, Schiebetür rechts, Anhängerkupplung, Einparkhilfe Sensoren hinten, Klimaanlage, USB, Bluetooth, Armlehne;€ 4.250;Sehr guter Preis;186.900 km;Schaltgetriebe;06/2015;Benzin;74 kW (101 PS);5,4 l/100 km;128 g/km;Autoscout24.de
Audi;A6;Lim. 2.8 FSI V6*Automatik Navi*45 Tkm*1Hand*;Sommerreifen, Start/Stop-Automatik, Multifunktionslenkrad, Navigationssystem, Einparkhilfe Sensoren vorne, Einparkhilfe selbstlenkendes System, Seitenairbag, CD;€ 14.500;Sehr guter Preis;45.382 km;Automatik;08/2011;Benzin;150 kW (204 PS);7,7 l/100 km;182 g/km;Autoscout24.de
Renault;Scenic;III 1.5 DCi BOSE Edition Automatik Navi;Über 400 Dacia Neuwagen im Bestand/3 Jahre Garantie;€ 4.490;Guter Preis;238.600 km;Automatik;10/2013;Diesel;81 kW (110 PS);5,0 l/100 km;130 g/km;Autoscout24.de
Opel;Corsa;E 1.2 Klima;Elektrische Seitenspiegel, Klimaanlage, Fahrerairbag, Beifahrerairbag, Radio, Seitenairbag, Elektr. Fensterheber, Zentralverriegelung;€ 4.290;Sehr guter Preis;115.200 km;Schaltgetriebe;05/2016;Benzin;51 kW (69 PS);5,4 l/100 km;128 g/km;Autoscout24.de
BMW;X6;xDrive40d|LED|HUD|HiFi|SHZ|PDC|Kamera|Navi|BT;Reifendruckkontrollsystem, Einparkhilfe Kamera, Fahrerairbag, Allrad, Soundsystem, LED-Scheinwerfer, Sportfahrwerk, Head-up display;€ 15.990;Guter Preis;281.500 km;Automatik;12/2012;Diesel;225 kW (306 PS);7,5 l/100 km;199 g/km;Autoscout24.de
Volkswagen;Golf;VI  2.0 GTD/KLIMAAUTO/NAVI/LED/XENON/1 HAND;Bi-Xenon Scheinwerfer, Navigationssystem, Sportfahrwerk, Radio, Einparkhilfe Sensoren vorne, Sommerreifen, Bluetooth, Bordcomputer;€ 6.980;Fairer Preis;242.846 km;Schaltgetriebe;12/2011;Diesel;125 kW (170 PS);5,1 l/100 km;134 g/km;Autoscout24.de
Volvo;V70;Kombi Linje Classic;Elektrische Heckklappe, Alufelgen, Sportfahrwerk, Schiebedach, LED-Tagfahrlicht, Volldigitales Kombiinstrument, Elektrische Sitze, Abstandswarner;€ 8.900;Sehr guter Preis;195.697 km;Schaltgetriebe;05/2016;Diesel;110 kW (150 PS);4,1 l/100 km;113 g/km;Autoscout24.de
Renault;Megane;Coupé Dynamique TCe 130 GEWERBE/EXPORT;Sommerreifen, Alufelgen, Klimaanlage, Fahrerairbag, Navigationssystem, Bi-Xenon Scheinwerfer, Wegfahrsperre, Sitzheizung;€ 4.500;Sehr guter Preis;115.000 km;Schaltgetriebe;04/2011;Benzin;96 kW (131 PS);6,3 l/100 km;nan;Autoscout24.de
BMW;318;D F30 SPORT LINE*2.HAND*GLASDACH*XENON*NAVI(Prof.);Sportpaket, Sportsitze, Bi-Xenon Scheinwerfer, Start/Stop-Automatik, Schiebedach, Navigationssystem, Einparkhilfe Sensoren vorne, Alufelgen;€ 9.900;Fairer Preis;225.018 km;Schaltgetriebe;05/2012;Diesel;105 kW (143 PS);4,5 l/100 km;118 g/km;Autoscout24.de
Volkswagen;Touran;Cross 1.6TDI*Aut.*BiXenon*Temp*Pdc*Ahk*;Tagfahrlicht, Radio, Standheizung, Bi-Xenon Scheinwerfer, Einparkhilfe Kamera, Alufelgen, Touchscreen, LED-Tagfahrlicht;€ 8.490;Sehr guter Preis;199.989 km;Automatik;11/2013;Diesel;77 kW (105 PS);5,4 l/100 km;143 g/km;Autoscout24.de
Dacia;Duster;1.6 16V 105 4x2;Klimaanlage, Isofix, Pannenkit, Nebelscheinwerfer, Bordcomputer, ABS, Beifahrerairbag;€ 6.200;Sehr guter Preis;94.800 km;Schaltgetriebe;04/2013;Benzin;77 kW (105 PS);7,1 l/100 km;nan;Autoscout24.de
SEAT;Altea XL;Style Ecomotive;Alufelgen, Fahrerairbag, Allwetterreifen, USB, Start/Stop-Automatik, ABS, Servolenkung, Elektrische Seitenspiegel;€ 4.490;Sehr guter Preis;153.000 km;Schaltgetriebe;12/2012;Diesel;77 kW (105 PS);4,5 l/100 km;119 g/km;Autoscout24.de
Volkswagen;Polo;V CrossPolo Sitzheizung Sportsitze;Dachreling, Radio, Klimaanlage, Fahrerairbag, Winterpaket, Lederlenkrad, Isofix, Gepäckraumabtrennung;€ 4.490;Guter Preis;198.421 km;Schaltgetriebe;04/2012;Benzin;51 kW (69 PS);5,7 l/100 km;132 g/km;Autoscout24.de
BMW;318;d Lim. M Sportpaket Euro5 Navi,Xenon;Sportfahrwerk, Sportsitze, Sportpaket, Alufelgen, Bi-Xenon Scheinwerfer, Armlehne, Klimaanlage, Navigationssystem;€ 11.800;Guter Preis;164.569 km;Schaltgetriebe;03/2013;Diesel;105 kW (143 PS);4,5 l/100 km;119 g/km;Autoscout24.de
Opel;Meriva;B Temp. SHZ PDC NP: 26.000€;Beifahrerairbag, Alufelgen, Einparkhilfe Sensoren vorne, Seitenairbag, Fahrerairbag, Klimaanlage, Beheizbares Lenkrad, Armlehne;€ 4.190;Sehr guter Preis;157.000 km;Schaltgetriebe;01/2012;Benzin;103 kW (140 PS);6,7 l/100 km;159 g/km;Autoscout24.de
Opel;Insignia;A Lim. 150 Jahre Opel/NAVI/RADIO/KLIMA;Fahrerairbag, Einparkhilfe Sensoren vorne, Beifahrerairbag, Navigationssystem, Freisprecheinrichtung, Sprachsteuerung, Alufelgen, Einparkhilfe Sensoren hinten;€ 8.900;Sehr guter Preis;66.778 km;Schaltgetriebe;03/2013;Diesel;96 kW (131 PS);5,8 l/100 km;154 g/km;Autoscout24.de
Ford;Fiesta;Sport;Isofix, Sportfahrwerk, Freisprecheinrichtung, Beheizbare Frontscheibe, Getönte Scheiben, Fahrerairbag, Sitzheizung, Sportpaket;€ 5.999;Sehr guter Preis;142.500 km;Schaltgetriebe;03/2016;Benzin;92 kW (125 PS);4,3 l/100 km;99 g/km;Autoscout24.de
MINI;Cooper D Clubman;Cooper D;Start/Stop-Automatik, Sportpaket, Navigationssystem, Anhängerkupplung, Alufelgen, Lichtsensor, Bluetooth, Sprachsteuerung;€ 4.900;Sehr guter Preis;234.172 km;Schaltgetriebe;11/2012;Diesel;82 kW (111 PS);3,8 l/100 km;101 g/km;Autoscout24.de
BMW;X3;xDrive20d xLine   Standklima   Harman-Kardon;Spoiler, Head-up display, Navigationssystem, 2-Zonen-Klimaautomatik, Isofix, Sportsitze, Sommerreifen, Ambientebeleuchtung;€ 12.950;Sehr guter Preis;195.854 km;Schaltgetriebe;09/2014;Diesel;140 kW (190 PS);nan;136 g/km;Autoscout24.de
Audi;A4;Avant  quattro *ACC*KAMERA*APS*AHK*NAVI*PDC*;Allrad, Einparkhilfe Kamera, Scheinwerferreinigung, Navigationssystem, Anhängerkupplung, Regensensor, LED-Tagfahrlicht, Sommerreifen;€ 10.499;Sehr guter Preis;215.442 km;Automatik;12/2014;Diesel;130 kW (177 PS);5,3 l/100 km;140 g/km;Autoscout24.de
Ford;Fiesta;1.0 Sync Edition Klima 32tkm! 1.Hd 5türig;Klimaanlage, Multifunktionslenkrad, Elektrische Seitenspiegel, E10-geeignet, Alufelgen, LED-Tagfahrlicht, Bluetooth, Isofix;€ 6.890;Sehr guter Preis;32.483 km;Schaltgetriebe;07/2013;Benzin;48 kW (65 PS);4,6 l/100 km;109 g/km;Autoscout24.de
Volkswagen;Polo;V Trendline. Navi. Klima. PDC. Temp.;Seit 1963 Ihr KFZ-Meisterbetrieb in Mainz Bretzenheim;€ 6.990;Guter Preis;119.900 km;Schaltgetriebe;01/2016;Benzin;44 kW (60 PS);nan;nan;Autoscout24.de
Skoda;Fabia;Cool Edition;Fahrerairbag, Klimaanlage, Alufelgen, Radio, Sommerreifen, Beifahrerairbag, Isofix;€ 7.390;Sehr guter Preis;59.939 km;Schaltgetriebe;08/2014;Benzin;63 kW (86 PS);5,2 l/100 km;123 g/km;Autoscout24.de
Volkswagen;T5 Multivan;PanAmerika *AHK*4Motion*Navi*PDC*;Allrad, Navigationssystem, Reifendruckkontrollsystem, Anhängerkupplung, Klimaanlage, Einparkhilfe Kamera, Alufelgen, Einparkhilfe Sensoren vorne;€ 15.999;Sehr guter Preis;222.258 km;Schaltgetriebe;12/2011;Diesel;132 kW (179 PS);8,8 l/100 km;233 g/km;Autoscout24.de
Ford;EcoSport;Titanium KLIMA*PDC*BT*sauberes Fahrzeug;Fahrerairbag, Traktionskontrolle, Getönte Scheiben, Berganfahrassistent, Zentralverriegelung, Bluetooth, Tempomat, Lordosenstütze;€ 7.990;Sehr guter Preis;101.295 km;Schaltgetriebe;10/2014;Diesel;66 kW (90 PS);4,6 l/100 km;120 g/km;Autoscout24.de
Citroen;C4 Picasso;Seduction LED PDC AHK Bluetooth;Anhängerkupplung, Fahrerairbag, Touchscreen, Elektr. Fensterheber, Klimaanlage, Beifahrerairbag, Klimaautomatik, Multifunktionslenkrad;€ 4.990;Sehr guter Preis;165.000 km;Schaltgetriebe;11/2013;Diesel;85 kW (116 PS);4,0 l/100 km;106 g/km;Autoscout24.de
Toyota;Avensis;Kombi 1.8 1.Hand **126TKM**Navi Kamera;Dachreling, Pannenkit, Elektronische Parkbremse, Sitzheizung, Klimaanlage, Multifunktionslenkrad, Lordosenstütze, Soundsystem;€ 7.450;nan;126.465 km;Schaltgetriebe;01/2012;Benzin;108 kW (147 PS);6,6 l/100 km;155 g/km;Autoscout24.de
Ford;Mondeo;Titanium Automatik Memory Teilleder Navi;Leder Alcantara;€ 8.990;Sehr guter Preis;199.887 km;Automatik;12/2016;Diesel;132 kW (179 PS);4,9 l/100 km;nan;Autoscout24.de
Skoda;Fabia;Combi 1.6 TDI Cool Edition*Klima*AHK;Klimaanlage, Fahrerairbag, Allwetterreifen, Gepäckraumabtrennung, Isofix, Elektr. Fensterheber, Bordcomputer, Radio;€ 2.950;Fairer Preis;205.555 km;Schaltgetriebe;08/2011;Diesel;66 kW (90 PS);4,2 l/100 km;111 g/km;Autoscout24.de
Hyundai;i20;Classic,Klima, 8-fach bereift, Seh sauber;E10-geeignet, Fahrerairbag, Klimaanlage, Elektrische Seitenspiegel, Traktionskontrolle, Klimaautomatik, CD, Bluetooth;€ 6.499;Guter Preis;65.858 km;Schaltgetriebe;09/2014;Benzin;63 kW (86 PS);4,9 l/100 km;114 g/km;Autoscout24.de
BMW;220;Coupé M Sport LED NaviBusiness FernlichtAss;Ihr BMW Servicepartner für die Region Hannover;€ 13.999;Guter Preis;194.000 km;Schaltgetriebe;08/2017;Diesel;140 kW (190 PS);4,3 l/100 km;nan;Autoscout24.de
Mitsubishi;ASX;1.8 DI-D+ Instyle NaviTouch RFKam BT USB All;Navigationssystem, Xenonscheinwerfer, Sitzheizung, Einparkhilfe Kamera, Isofix, Soundsystem, Panoramadach, ABS;€ 7.480;Fairer Preis;190.000 km;Schaltgetriebe;12/2013;Diesel;110 kW (150 PS);nan;141 g/km;Autoscout24.de
Nissan;X-Trail;SE 4X4 AHK Navi Kamera;Auto kauft man mit Vertrauen u Garantie;€ 6.740;Guter Preis;229.441 km;Schaltgetriebe;05/2011;Diesel;110 kW (150 PS);nan;nan;Autoscout24.de
Opel;Meriva;B 1.4 Design Edition;Fahrerairbag, Armlehne, ESP, Beifahrerairbag, Einparkhilfe Sensoren hinten, Elektr. Fensterheber, Klimaanlage, Radio;€ 3.990;Sehr guter Preis;103.500 km;Schaltgetriebe;03/2011;Benzin;74 kW (101 PS);6,1 l/100 km;145 g/km;Autoscout24.de
Kia;;CEED SW 1.6 EDITION7  EMOTION OHNE KLIMA;Zentralverriegelung, Sitzheizung, Alufelgen, Isofix, Multifunktionslenkrad, Seitenairbag, Dachreling, Radio;€ 7.960;Sehr guter Preis;94.600 km;Schaltgetriebe;03/2014;Benzin;99 kW (135 PS);nan;nan;Autoscout24.de
Ford;Mondeo;Turnier Titanium*Klima*Allwetter*;Alufelgen, Sportfahrwerk, Sportsitze, Elektrische Sitze, Klimaanlage, Schlüssellose Zentralverriegelung, Klimaautomatik, Isofix;€ 4.980;Fairer Preis;197.553 km;Schaltgetriebe;05/2013;Benzin;149 kW (203 PS);7,6 l/100 km;180 g/km;Autoscout24.de
Volkswagen;Golf Variant;1.4 TSI Highline+Panorama+STHZ+AHK+Bi-Xenon+;Alufelgen, Navigationssystem, Bi-Xenon Scheinwerfer, Sommerreifen, Kurvenlicht, Reifendruckkontrollsystem, Bluetooth, Touchscreen;€ 4.999;Guter Preis;231.000 km;Schaltgetriebe;11/2012;Benzin;118 kW (160 PS);6,4 l/100 km;149 g/km;Autoscout24.de
Opel;Zafira Tourer;C 1.6 Innovation  CNG ERDGAS 7SITZE;Bluetooth, Alufelgen, Freisprecheinrichtung, Armlehne, Reifendruckkontrollsystem, Notrufsystem, Zentralverriegelung mit Funkfernbedienung, Tagfahrlicht;€ 7.500;Sehr guter Preis;134.272 km;Schaltgetriebe;09/2015;Erdgas (CNG);110 kW (150 PS);nan;nan;Autoscout24.de
Peugeot;508;Pan Dach Nav 8 fach Kopftdichtung kaputt;Alufelgen, Tagfahrlicht, Multifunktionslenkrad, Panoramadach, Tempomat, Radio, Servolenkung, Lichtsensor;€ 4.500;Sehr guter Preis;122.000 km;Schaltgetriebe;06/2011;Benzin;115 kW (156 PS);6,5 l/100 km;150 g/km;Autoscout24.de
Alfa Romeo;Giulia;2.2 JTDM Automatik Klima Navi Temp Kamera;Finanzierung OHNE Anzahlung möglich!;€ 13.890;Sehr guter Preis;174.400 km;Automatik;11/2016;Diesel;132 kW (179 PS);3,8 l/100 km;99 g/km;Autoscout24.de
Mercedes-Benz;ML 350;BlueTEC 4M 7G AMG STYLING  MEMORY   TOTW.;Sportpaket, 3-Zonen-Klimaautomatik, Einparkhilfe Kamera, Sportfahrwerk, Traktionskontrolle, Anhängerkupplung, Voll-LED Scheinwerfer, Allrad;€ 19.950;Sehr guter Preis;193.733 km;Automatik;11/2012;Diesel;190 kW (258 PS);6,8 l/100 km;nan;Autoscout24.de
Opel;Meriva;B Innovation*Tempomat*Sitzheizung*;Einparkhilfe Sensoren hinten, Radio, Beifahrerairbag, Sitzheizung, Tempomat, Alufelgen, Bluetooth, Getönte Scheiben;€ 7.290;Guter Preis;128.969 km;Schaltgetriebe;09/2016;Diesel;100 kW (136 PS);4,4 l/100 km;116 g/km;Autoscout24.de
Skoda;Rapid/Spaceback;Ambition*DAB Radio*Klimaautomatik*Navi*;Einparkhilfe Kamera, Elektrische Seitenspiegel, Multifunktionslenkrad, Klimaautomatik, Touchscreen, Sommerreifen, Bluetooth, Alufelgen;€ 7.190;Sehr guter Preis;93.773 km;Schaltgetriebe;05/2013;Benzin;63 kW (86 PS);5,1 l/100 km;121 g/km;Autoscout24.de
Volkswagen;T5 Caravelle;4X4;Allrad, Apple CarPlay, Einparkhilfe Sensoren hinten, Beifahrerairbag, Elektrische Seitenspiegel, Klimaanlage, Anhängerkupplung, Navigationssystem;€ 16.445;Sehr guter Preis;181.935 km;Automatik;12/2011;Diesel;132 kW (179 PS);8,8 l/100 km;232 g/km;Autoscout24.de
