Brand,Model,Kilometers,BuildYear,Transmission,Fuel,Power,l/Km,Emission,CurrentPrice
Volkswagen,up!,21.675 km,09/2019,Manuell,Benzin,44 kW (60 PS),4l/100km,123g CO2/km (WLTP,11.689
Ford,Transit Connect,62.133 km,01/2019,Manuell,Diesel,88 kW (120 PS),6l/100km,147g CO2/km (WLTP,18.789
Skoda,Superb,92.356 km,11/2019,Automatik,Diesel,140 kW (190 PS),7l/100km,186g CO2/km (komb)*,28.589
Ford,Kuga,77.404 km,02/2019,Automatik,Diesel,132 kW (180 PS),5l/100km,197g CO2/km (WLTP,21.989
Dacia,Dokker,55.153 km,06/2019,Manuell,Benzin,96 kW (131 PS),1l/100km,138g CO2/km (komb)*,16.948
Audi,Q2,83.826 km,11/2019,Automatik,Benzin,140 kW (190 PS),8l/100km,185g CO2/km (komb)*,28.489
Ford,SONSTIGE,55.500 km,07/2019,Manuell,Diesel,96 kW (131 PS),7l/100km,186g CO2/km (komb)*,30.189
Mercedes-Benz,SONSTIGE,98.830 km,10/2019,Automatik,Diesel,140 kW (190 PS),7l/100km,186g CO2/km (komb)*,45.889
Ford,Fiesta,32.200 km,08/2019,Manuell,Benzin,63 kW (86 PS),8l/100km,185g CO2/km (komb)*,13.589
Dacia,Duster,52.390 km,11/2019,Manuell,Benzin,96 kW (131 PS),0l/100km,162g CO2/km (WLTP,17.548
Volkswagen,Polo,5.765 km,12/2019,Manuell,Benzin,59 kW (80 PS),5l/100km,126g CO2/km (WLTP,17.789
Volkswagen,T-Roc,53.268 km,10/2019,Automatik,Diesel,110 kW (150 PS),7l/100km,154g CO2/km (WLTP,26.689
Volkswagen,Caddy,148.550 km,11/2019,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,31.849
Dacia,Duster,92.290 km,11/2019,Manuell,Benzin,96 kW (131 PS),8l/100km,185g CO2/km (komb)*,14.948
Ford,Kuga,104.999 km,06/2019,Manuell,Diesel,88 kW (120 PS),2l/100km,136g CO2/km (komb)*,16.548
Seat,Alhambra,61.080 km,09/2019,Automatik,Diesel,130 kW (177 PS),7l/100km,186g CO2/km (komb)*,37.989
Audi,Q7,67.464 km,08/2019,Automatik,Diesel,210 kW (286 PS),7l/100km,186g CO2/km (komb)*,53.589
BMW,SONSTIGE,69.700 km,10/2019,Automatik,Diesel,140 kW (190 PS),6l/100km,158g CO2/km (WLTP,29.489
Volkswagen,Golf,61.337 km,09/2019,Automatik,Diesel,110 kW (150 PS),3l/100km,140g CO2/km (WLTP,21.689
Volkswagen,Golf,89.766 km,10/2019,Automatik,Diesel,110 kW (150 PS),3l/100km,140g CO2/km (WLTP,19.689
Volkswagen,Passat,89.840 km,05/2019,Automatik,Diesel,110 kW (150 PS),5l/100km,143g CO2/km (WLTP,20.689
Volkswagen,Golf,89.766 km,10/2019,Automatik,Diesel,110 kW (150 PS),3l/100km,140g CO2/km (WLTP,20.989
Opel,Mokka X,90.500 km,05/2019,Automatik,Benzin,103 kW (140 PS),2l/100km,188g CO2/km (WLTP,17.289
Ford,Fiesta,58.860 km,02/2019,Manuell,Benzin,103 kW (140 PS),8l/100km,185g CO2/km (komb)*,17.948
Volkswagen,Polo,29.163 km,07/2019,Manuell,Benzin,85 kW (116 PS),5l/100km,124g CO2/km (WLTP,18.289
Volkswagen,Golf,36.000 km,03/2019,Automatik,Elektro,100 kW (136 PS),,0g CO2/km (komb)*,18.689
Volkswagen,Tiguan,60.340 km,12/2019,Manuell,Diesel,110 kW (150 PS),8l/100km,152g CO2/km (WLTP,27.189
Volkswagen,Golf,52.635 km,10/2019,Automatik,Diesel,110 kW (150 PS),4l/100km,143g CO2/km (WLTP,22.989
Volkswagen,Golf,52.242 km,11/2019,Manuell,Diesel,85 kW (116 PS),1l/100km,133g CO2/km (WLTP,18.689
Volkswagen,Golf,52.635 km,10/2019,Automatik,Diesel,110 kW (150 PS),4l/100km,143g CO2/km (WLTP,21.689
Ford,Transit,60.300 km,11/2019,Manuell,Diesel,77 kW (105 PS),8l/100km,210g CO2/km (WLTP,24.689
Volkswagen,T-Cross,14.832 km,09/2019,Manuell,Benzin,70 kW (95 PS),8l/100km,185g CO2/km (komb)*,19.289
Volkswagen,Golf,24.030 km,11/2019,Manuell,Diesel,85 kW (116 PS),5l/100km,131g CO2/km (WLTP,19.289
Volkswagen,Passat,53.908 km,11/2019,Automatik,Diesel,140 kW (190 PS),4l/100km,167g CO2/km (WLTP,28.789
Volkswagen,Passat,53.908 km,11/2019,Automatik,Diesel,140 kW (190 PS),4l/100km,167g CO2/km (WLTP,30.089
Volkswagen,Golf,24.030 km,11/2019,Manuell,Diesel,85 kW (116 PS),5l/100km,131g CO2/km (WLTP,20.589
Volkswagen,Polo,39.270 km,10/2019,Manuell,Diesel,70 kW (95 PS),9l/100km,129g CO2/km (WLTP,18.689
Audi,Q2,44.775 km,09/2019,Manuell,Benzin,85 kW (116 PS),8l/100km,185g CO2/km (komb)*,21.089
Mazda,3,23.355 km,11/2019,Manuell,Benzin,90 kW (122 PS),8l/100km,135g CO2/km (komb)*,20.648
Mazda,2,50.554 km,05/2019,Manuell,Benzin,66 kW (90 PS),8l/100km,111g CO2/km (komb)*,14.548
Land Rover,Discovery Sport,84.035 km,10/2019,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,26.089
Mazda,CX-5,98.518 km,08/2019,Automatik,Diesel,135 kW (184 PS),7l/100km,186g CO2/km (komb)*,28.189
Volvo,V90,96.864 km,04/2019,Automatik,Diesel,140 kW (190 PS),7l/100km,186g CO2/km (komb)*,29.189
Kia,Picanto,55.199 km,11/2019,Manuell,Benzin,61 kW (83 PS),0l/100km,131g CO2/km (WLTP,13.648
Ford,Transit Connect,23.896 km,03/2019,Manuell,Benzin,74 kW (101 PS),8l/100km,185g CO2/km (komb)*,17.089
Skoda,Octavia,89.775 km,11/2019,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,22.589
Audi,A4,74.682 km,05/2019,Automatik,Diesel,110 kW (150 PS),2l/100km,163g CO2/km (WLTP,24.089
Volvo,SONSTIGE,75.541 km,06/2019,Automatik,Benzin,184 kW (250 PS),8l/100km,185g CO2/km (komb)*,33.389
Volkswagen,Passat Variant,98.445 km,06/2019,Manuell,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,21.589
BMW,118,88.345 km,08/2019,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,23.589
Peugeot,3008,59.775 km,06/2019,Manuell,Diesel,96 kW (131 PS),7l/100km,186g CO2/km (komb)*,23.089
Volvo,XC90,54.198 km,10/2019,Automatik,Diesel,173 kW (235 PS),7l/100km,203g CO2/km (WLTP,41.289
Seat,Leon,64.380 km,11/2019,Automatik,Erdgas,96 kW (131 PS),,96g CO2/km (komb)*,17.789
BMW,X3,71.599 km,07/2019,Automatik,Diesel,140 kW (190 PS),7l/100km,186g CO2/km (komb)*,32.389
BMW,520,89.885 km,08/2019,Automatik,Diesel,140 kW (190 PS),7l/100km,186g CO2/km (komb)*,27.689
Hyundai,i20,45.243 km,12/2019,Manuell,Benzin,55 kW (75 PS),3l/100km,142g CO2/km (WLTP,14.089
Volkswagen,Touran,98.790 km,05/2019,Automatik,Diesel,85 kW (116 PS),7l/100km,186g CO2/km (komb)*,24.089
Fiat,New Panda,48.126 km,12/2019,Manuell,Benzin,51 kW (69 PS),8l/100km,185g CO2/km (komb)*,13.089
Fiat,500,37.690 km,02/2019,Automatik,Benzin,51 kW (69 PS),4l/100km,125g CO2/km (komb)*,14.348
Volvo,XC60,61.354 km,12/2019,Automatik,Benzin,140 kW (190 PS),8l/100km,185g CO2/km (komb)*,33.089
Opel,Combo,93.366 km,09/2019,Manuell,Diesel,75 kW (102 PS),7l/100km,186g CO2/km (komb)*,13.089
Ford,Transit,95.327 km,03/2019,Manuell,Diesel,88 kW (120 PS),3l/100km,166g CO2/km (WLTP,14.549
Ford,Transit,79.500 km,03/2019,Manuell,Diesel,88 kW (120 PS),3l/100km,166g CO2/km (WLTP,15.249
Ford,Transit,99.657 km,03/2019,Manuell,Diesel,88 kW (120 PS),3l/100km,166g CO2/km (WLTP,14.549
Ford,Transit,85.175 km,05/2019,Manuell,Diesel,88 kW (120 PS),3l/100km,166g CO2/km (WLTP,15.249
Hyundai,i30,68.900 km,08/2019,Manuell,Benzin,88 kW (120 PS),8l/100km,132g CO2/km (WLTP,15.689
Mercedes-Benz,SONSTIGE,45.125 km,10/2019,Automatik,Benzin,145 kW (197 PS),1l/100km,166g CO2/km (WLTP,41.689
Mercedes-Benz,Sprinter,33.638 km,11/2019,Manuell,Diesel,105 kW (143 PS),7l/100km,186g CO2/km (komb)*,27.489
Smart,ForFour,38.382 km,04/2019,Manuell,Benzin,52 kW (71 PS),8l/100km,185g CO2/km (komb)*,12.749
Jaguar,XF,54.841 km,10/2019,Automatik,Diesel,132 kW (180 PS),7l/100km,186g CO2/km (komb)*,29.648
Skoda,Scala,82.349 km,07/2019,Manuell,Benzin,85 kW (116 PS),7l/100km,128g CO2/km (WLTP,17.649
Skoda,Scala,82.349 km,08/2019,Manuell,Benzin,85 kW (116 PS),7l/100km,0g CO2/km (WLTP,16.949
Audi,Q8,82.816 km,08/2019,Automatik,Diesel,210 kW (286 PS),7l/100km,186g CO2/km (komb)*,68.089
Mercedes-Benz,SONSTIGE,71.748 km,10/2019,Automatik,Diesel,250 kW (340 PS),7l/100km,186g CO2/km (komb)*,45.589
Ford,Transit Connect,99.999 km,09/2019,Automatik,Diesel,88 kW (120 PS),7l/100km,186g CO2/km (komb)*,19.889
Mercedes-Benz,SONSTIGE,58.310 km,09/2019,Automatik,Diesel,143 kW (194 PS),7l/100km,186g CO2/km (komb)*,29.189
Smart,ForFour,38.382 km,03/2019,Manuell,Benzin,52 kW (71 PS),8l/100km,185g CO2/km (komb)*,13.549
Volkswagen,Passat,17.249 km,12/2019,Automatik,Diesel,140 kW (190 PS),6l/100km,156g CO2/km (WLTP,31.189
Volkswagen,Golf,45.000 km,02/2019,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,25.489
Skoda,Scala,94.215 km,09/2019,Manuell,Diesel,85 kW (116 PS),9l/100km,128g CO2/km (WLTP,16.689
Volkswagen,Golf,76.316 km,05/2019,Automatik,Diesel,110 kW (150 PS),5l/100km,143g CO2/km (WLTP,20.689
Seat,Alhambra,24.317 km,03/2019,Automatik,Diesel,110 kW (150 PS),7l/100km,176g CO2/km (WLTP,35.289
Volkswagen,up!,5.783 km,07/2019,Manuell,Benzin,44 kW (60 PS),2l/100km,117g CO2/km (WLTP,13.289
Volkswagen,Golf,45.000 km,02/2019,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,24.189
Volkswagen,Golf,29.987 km,07/2019,Automatik,Diesel,110 kW (150 PS),3l/100km,139g CO2/km (WLTP,22.689
Volkswagen,Golf,38.540 km,12/2019,Manuell,Diesel,85 kW (116 PS),3l/100km,139g CO2/km (WLTP,20.989
Seat,Alhambra,24.317 km,03/2019,Automatik,Diesel,110 kW (150 PS),7l/100km,176g CO2/km (WLTP,33.989
Volkswagen,Golf,38.540 km,12/2019,Manuell,Diesel,85 kW (116 PS),3l/100km,139g CO2/km (WLTP,19.689
Volkswagen,Passat,17.249 km,12/2019,Automatik,Diesel,140 kW (190 PS),6l/100km,156g CO2/km (WLTP,29.789
Volkswagen,Polo,27.747 km,10/2019,Manuell,Benzin,85 kW (116 PS),7l/100km,129g CO2/km (WLTP,18.689
Opel,Astra,56.780 km,11/2019,Manuell,Diesel,77 kW (105 PS),4l/100km,115g CO2/km (WLTP,14.689
Volkswagen,Golf,56.825 km,12/2019,Automatik,Diesel,110 kW (150 PS),5l/100km,143g CO2/km (WLTP,23.689
Audi,Q8,80.569 km,07/2019,Automatik,Benzin,250 kW (340 PS),11l/100km,249g CO2/km (WLTP,70.889
Skoda,Scala,39.400 km,12/2019,Automatik,Benzin,110 kW (150 PS),8l/100km,185g CO2/km (komb)*,20.689
Fiat,Tipo,17.000 km,06/2019,Manuell,Benzin,88 kW (120 PS),8l/100km,185g CO2/km (komb)*,15.689
Skoda,Octavia,51.450 km,06/2019,Manuell,Benzin,180 kW (245 PS),8l/100km,185g CO2/km (komb)*,27.789
Mercedes-Benz,Sprinter,42.803 km,12/2019,Manuell,Diesel,105 kW (143 PS),7l/100km,186g CO2/km (komb)*,33.189
Volkswagen,SONSTIGE,97.019 km,12/2019,Manuell,Benzin,75 kW (102 PS),8l/100km,185g CO2/km (komb)*,22.489
Volkswagen,T-Cross,35.849 km,11/2019,Manuell,Benzin,85 kW (116 PS),8l/100km,185g CO2/km (komb)*,18.589
Volkswagen,Polo,34.705 km,12/2019,Automatik,Benzin,110 kW (150 PS),8l/100km,185g CO2/km (komb)*,21.089
Volkswagen,T6 SONSTIGE,52.550 km,12/2019,Manuell,Diesel,75 kW (102 PS),3l/100km,0g CO2/km (WLTP,30.449
Mercedes-Benz,AMG GT,112.850 km,06/2019,Automatik,Benzin,430 kW (585 PS),8l/100km,185g CO2/km (komb)*,113.149
Volkswagen,T6 SONSTIGE,37.950 km,12/2019,Automatik,Diesel,146 kW (199 PS),7l/100km,186g CO2/km (komb)*,66.049
Skoda,Scala,49.500 km,04/2019,Manuell,Benzin,85 kW (116 PS),7l/100km,129g CO2/km (WLTP,18.089
Seat,Alhambra,128.321 km,01/2019,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,26.249
Iveco,Daily,99.200 km,11/2019,Manuell,Diesel,115 kW (156 PS),7l/100km,186g CO2/km (komb)*,26.449
Ford,Focus,61.101 km,08/2019,Automatik,Benzin,134 kW (182 PS),8l/100km,185g CO2/km (komb)*,19.889
Iveco,Daily,78.700 km,12/2019,Manuell,Diesel,115 kW (156 PS),7l/100km,186g CO2/km (komb)*,22.649
Iveco,Daily,91.500 km,11/2019,Manuell,Diesel,115 kW (156 PS),7l/100km,186g CO2/km (komb)*,21.349
Hyundai,IONIQ,46.250 km,04/2019,Automatik,Elektro,88 kW (120 PS),,0g CO2/km (WLTP,16.349
Iveco,Daily,81.000 km,11/2019,Manuell,Diesel,115 kW (156 PS),7l/100km,186g CO2/km (komb)*,21.349
Iveco,Daily,98.000 km,11/2019,Manuell,Diesel,115 kW (156 PS),0l/100km,0g CO2/km (WLTP,28.049
Porsche,Cayenne,71.800 km,03/2019,Automatik,Benzin,404 kW (549 PS),8l/100km,267g CO2/km (komb)*,81.049
Jeep,Compass,80.130 km,11/2019,Automatik,Benzin,125 kW (170 PS),3l/100km,190g CO2/km (komb)*,21.149
Mercedes-Benz,B 200,83.882 km,04/2019,Automatik,Diesel,100 kW (136 PS),3l/100km,142g CO2/km (komb)*,21.249
BMW,X3,91.874 km,03/2019,Automatik,Diesel,140 kW (190 PS),7l/100km,186g CO2/km (komb)*,31.749
Renault,Master,138.900 km,04/2019,Manuell,Diesel,96 kW (131 PS),7l/100km,186g CO2/km (komb)*,30.149
Renault,Kadjar,71.423 km,11/2019,Manuell,Benzin,117 kW (159 PS),8l/100km,185g CO2/km (komb)*,19.049
Skoda,Octavia,72.790 km,06/2019,Automatik,Benzin,85 kW (116 PS),8l/100km,185g CO2/km (komb)*,18.649
Mazda,3,91.350 km,08/2019,Manuell,Hybrid (Elektro / Benzin),90 kW (122 PS),8l/100km,85g CO2/km (komb)*,17.049
Mercedes-Benz,C 180,51.808 km,08/2019,Manuell,Benzin,115 kW (156 PS),8l/100km,116g CO2/km (komb)*,25.349
Fiat,124 Spider,26.950 km,03/2019,Manuell,Benzin,103 kW (140 PS),8l/100km,185g CO2/km (komb)*,23.249
Mercedes-Benz,C 400,74.200 km,08/2019,Automatik,Benzin,245 kW (333 PS),8l/100km,185g CO2/km (komb)*,42.349
Jeep,Compass,48.500 km,12/2019,Manuell,Benzin,103 kW (140 PS),8l/100km,155g CO2/km (komb)*,21.149
Renault,ZOE,32.058 km,11/2019,Automatik,Elektro,68 kW (92 PS),,0g CO2/km (WLTP,11.349
Renault,ZOE,42.762 km,02/2019,Automatik,Elektro,68 kW (92 PS),,0g CO2/km (WLTP,9.349
Renault,ZOE,17.543 km,03/2019,Automatik,Elektro,65 kW (88 PS),,0g CO2/km (WLTP,11.749
Renault,ZOE,17.812 km,09/2019,Automatik,Elektro,68 kW (92 PS),,0g CO2/km (WLTP,11.049
Renault,Trafic,78.500 km,04/2019,Manuell,Diesel,89 kW (121 PS),0l/100km,0g CO2/km (WLTP,35.249
Renault,Master,113.000 km,10/2019,Manuell,Diesel,96 kW (131 PS),0l/100km,0g CO2/km (WLTP,36.449
Renault,Master,115.000 km,10/2019,Manuell,Diesel,96 kW (131 PS),7l/100km,186g CO2/km (komb)*,31.449
Mercedes-Benz,C 43 AMG,87.542 km,07/2019,Automatik,Benzin,287 kW (390 PS),8l/100km,185g CO2/km (komb)*,41.249
Renault,Master,114.500 km,03/2019,Manuell,Diesel,96 kW (131 PS),0l/100km,0g CO2/km (WLTP,37.649
Alfa,Romeo Stelvio,44.000 km,10/2019,Automatik,Benzin,375 kW (510 PS),8l/100km,185g CO2/km (komb)*,61.449
Mercedes-Benz,Vito,59.500 km,07/2019,Manuell,Diesel,100 kW (136 PS),7l/100km,186g CO2/km (komb)*,33.349
Alfa,Romeo Stelvio,61.000 km,01/2019,N/A,Benzin,375 kW (510 PS),8l/100km,185g CO2/km (komb)*,62.449
Alfa,Romeo Stelvio,60.000 km,03/2019,Automatik,Benzin,147 kW (200 PS),8l/100km,185g CO2/km (komb)*,31.749
Jeep,Grand Cherokee,74.500 km,02/2019,Automatik,Benzin,344 kW (468 PS),8l/100km,185g CO2/km (komb)*,63.549
Renault,ZOE,45.056 km,06/2019,Automatik,Elektro,68 kW (92 PS),,0g CO2/km (WLTP,10.649
Renault,ZOE,39.587 km,02/2019,Automatik,Elektro,68 kW (92 PS),,0g CO2/km (WLTP,11.249
Jeep,Grand Cherokee,86.922 km,04/2019,Automatik,Diesel,184 kW (250 PS),8l/100km,212g CO2/km (komb)*,37.049
BMW,840,66.200 km,10/2019,Automatik,Benzin,250 kW (340 PS),2l/100km,164g CO2/km (komb)*,49.349
Kia,Stonic,55.000 km,11/2019,Automatik,Benzin,88 kW (120 PS),2l/100km,120g CO2/km (komb)*,19.049
Mercedes-Benz,B 220,44.446 km,10/2019,Automatik,Benzin,140 kW (190 PS),8l/100km,185g CO2/km (komb)*,25.949
Volkswagen,T-Roc,56.675 km,04/2019,Manuell,Diesel,85 kW (116 PS),5l/100km,145g CO2/km (WLTP,20.589
Volkswagen,Tiguan,82.122 km,07/2019,Automatik,Benzin,132 kW (180 PS),8l/100km,185g CO2/km (komb)*,33.989
Audi,Q7,52.300 km,10/2019,Automatik,Diesel,210 kW (286 PS),6l/100km,226g CO2/km (WLTP,52.089
Volkswagen,Passat Variant,88.444 km,10/2019,Automatik,Diesel,110 kW (150 PS),1l/100km,134g CO2/km (WLTP,22.089
Volkswagen,Golf,86.905 km,10/2019,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,21.089
BMW,520,69.775 km,08/2019,Automatik,Diesel,140 kW (190 PS),7l/100km,186g CO2/km (komb)*,34.389
Mercedes-Benz,Citan,63.947 km,05/2019,Manuell,Diesel,66 kW (90 PS),7l/100km,186g CO2/km (komb)*,16.089
Mercedes-Benz,C 220,81.259 km,08/2019,Automatik,Diesel,143 kW (194 PS),7l/100km,186g CO2/km (komb)*,28.189
Volkswagen,Tiguan,97.605 km,09/2019,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,27.189
Ford,Galaxy,53.805 km,08/2019,Manuell,Diesel,140 kW (190 PS),7l/100km,186g CO2/km (komb)*,31.289
Skoda,Kodiaq,64.690 km,11/2019,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,33.389
Skoda,Octavia,69.671 km,12/2019,Automatik,Benzin,180 kW (245 PS),8l/100km,185g CO2/km (komb)*,28.589
Ford,Focus,8.707 km,01/2019,Manuell,Benzin,74 kW (101 PS),8l/100km,185g CO2/km (komb)*,20.489
Audi,A4,94.700 km,07/2019,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,24.489
Volkswagen,Tiguan,56.000 km,10/2019,Automatik,Benzin,140 kW (190 PS),9l/100km,0g CO2/km (WLTP,31.849
Volkswagen,Caddy,66.919 km,08/2019,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,29.989
Ford,Tourneo Connect,67.164 km,10/2019,Manuell,Benzin,74 kW (101 PS),8l/100km,185g CO2/km (komb)*,21.489
Ford,Mondeo,81.781 km,11/2019,Automatik,Hybrid (Elektro / Benzin),103 kW (140 PS),8l/100km,85g CO2/km (komb)*,22.989
Ford,Focus,33.853 km,04/2019,Manuell,Diesel,88 kW (120 PS),7l/100km,186g CO2/km (komb)*,19.989
Ford,Focus,75.945 km,01/2019,Automatik,Diesel,88 kW (120 PS),7l/100km,186g CO2/km (komb)*,21.989
Volkswagen,SONSTIGE,143.853 km,12/2019,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,25.589
Ford,Galaxy,102.462 km,06/2019,Automatik,Diesel,140 kW (190 PS),7l/100km,186g CO2/km (komb)*,31.989
Ford,Focus,101.960 km,04/2019,Manuell,Diesel,88 kW (120 PS),7l/100km,186g CO2/km (komb)*,16.489
Audi,Q3,93.140 km,10/2019,Manuell,Benzin,110 kW (150 PS),8l/100km,0g CO2/km (WLTP,24.449
Audi,A4,77.800 km,10/2019,Automatik,Benzin,180 kW (245 PS),8l/100km,0g CO2/km (WLTP,31.849
BMW,520,124.800 km,02/2019,Automatik,Diesel,140 kW (190 PS),5l/100km,131g CO2/km (WLTP,26.549
Abarth,595,39.500 km,09/2019,Manuell,Benzin,107 kW (146 PS),7l/100km,154g CO2/km (komb)*,23.249
Volkswagen,Golf,90.590 km,08/2019,Automatik,Diesel,110 kW (150 PS),9l/100km,128g CO2/km (komb)*,19.949
Mercedes-Benz,eVito,7.173 km,09/2019,Automatik,Elektro,85 kW (116 PS),,0g CO2/km (WLTP,24.089
Mercedes-Benz,C 200,56.215 km,09/2019,Automatik,Benzin,135 kW (184 PS),8l/100km,185g CO2/km (komb)*,31.989
Ford,Galaxy,62.334 km,05/2019,Manuell,Benzin,121 kW (165 PS),6l/100km,0g CO2/km (WLTP,24.849
Volkswagen,Golf Variant,113.592 km,11/2019,Automatik,Benzin,221 kW (301 PS),1l/100km,161g CO2/km (komb)*,26.549
BMW,218 Gran Tourer,108.914 km,11/2019,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,24.989
Ford,Transit Connect,36.313 km,11/2019,Manuell,Benzin,74 kW (101 PS),8l/100km,0g CO2/km (WLTP,17.249
Toyota,C-HR,54.706 km,01/2019,Automatik,Hybrid (Elektro / Benzin),72 kW (98 PS),8l/100km,85g CO2/km (komb)*,25.989
Suzuki,Ignis,20.214 km,12/2019,Automatik,Benzin,66 kW (90 PS),6l/100km,0g CO2/km (WLTP,15.949
Ford,Focus,58.745 km,02/2019,Manuell,Benzin,92 kW (125 PS),8l/100km,108g CO2/km (komb)*,17.549
Volkswagen,Golf Variant,73.855 km,07/2019,Manuell,Diesel,85 kW (116 PS),7l/100km,186g CO2/km (komb)*,23.489
Volkswagen,Passat Variant,99.603 km,06/2019,Automatik,Diesel,140 kW (190 PS),7l/100km,186g CO2/km (komb)*,21.049
Peugeot,3008,56.716 km,05/2019,Manuell,Benzin,96 kW (131 PS),3l/100km,120g CO2/km (komb)*,19.149
Jaguar,F-Pace,93.660 km,12/2019,Automatik,Benzin,405 kW (551 PS),9l/100km,0g CO2/km (WLTP,52.349
Ford,Focus,120.870 km,05/2019,Manuell,Benzin,134 kW (182 PS),8l/100km,185g CO2/km (komb)*,19.149
Mercedes-Benz,Vito,132.173 km,05/2019,Automatik,Diesel,100 kW (136 PS),7l/100km,186g CO2/km (komb)*,26.449
Volkswagen,Touareg,47.800 km,05/2019,Automatik,Diesel,210 kW (286 PS),1l/100km,0g CO2/km (WLTP,48.349
Volkswagen,Passat Variant,112.823 km,07/2019,Automatik,Diesel,110 kW (150 PS),7l/100km,186g CO2/km (komb)*,20.049
Ford,Galaxy,128.914 km,06/2019,Automatik,Diesel,110 kW (150 PS),3l/100km,140g CO2/km (komb)*,23.349
Volkswagen,Passat Variant,79.198 km,02/2019,Manuell,Diesel,110 kW (150 PS),5l/100km,0g CO2/km (WLTP,24.349
Ford,Kuga,71.000 km,08/2019,Manuell,Benzin,110 kW (150 PS),7l/100km,158g CO2/km (komb)*,21.449
Land Rover,Range Rover Sport,68.500 km,11/2019,Automatik,Diesel,225 kW (306 PS),5l/100km,198g CO2/km (komb)*,58.549
Cupra,Ateca,69.000 km,12/2019,Automatik,Benzin,221 kW (301 PS),8l/100km,0g CO2/km (WLTP,29.749
Land Rover,Discovery Sport,62.600 km,12/2019,Automatik,Diesel,132 kW (180 PS),6l/100km,147g CO2/km (komb)*,35.249
Ford,Focus,96.282 km,09/2019,Manuell,Benzin,92 kW (125 PS),8l/100km,185g CO2/km (komb)*,14.949
Volkswagen,Tiguan,105.100 km,07/2019,Automatik,Diesel,110 kW (150 PS),2l/100km,0g CO2/km (WLTP,25.349
Jaguar,F-Pace,66.950 km,09/2019,Automatik,Diesel,221 kW (301 PS),1l/100km,0g CO2/km (WLTP,47.749
Volkswagen,T-Roc,41.974 km,02/2019,Automatik,Benzin,140 kW (190 PS),7l/100km,152g CO2/km (komb)*,28.149
Land Rover,Range Rover Sport,99.999 km,03/2019,Automatik,Diesel,250 kW (340 PS),7l/100km,231g CO2/km (komb)*,56.749
Land Rover,Range Rover Velar,81.400 km,11/2019,Automatik,Diesel,177 kW (241 PS),5l/100km,171g CO2/km (komb)*,43.649
Land Rover,Range Rover Velar,102.750 km,06/2019,Automatik,Diesel,221 kW (301 PS),8l/100km,0g CO2/km (WLTP,42.249
Audi,Q3,87.696 km,08/2019,Automatik,Benzin,110 kW (150 PS),3l/100km,149g CO2/km (komb)*,29.049
Peugeot,2008,66.788 km,04/2019,Manuell,Benzin,96 kW (131 PS),8l/100km,110g CO2/km (WLTP,15.949
Ford,Focus,35.400 km,11/2019,Manuell,Benzin,110 kW (150 PS),8l/100km,185g CO2/km (komb)*,23.849
Citroen,C4 Cactus,44.000 km,09/2019,Automatik,Benzin,96 kW (131 PS),8l/100km,110g CO2/km (komb)*,16.049
Volkswagen,T6 Multivan,77.200 km,08/2019,Automatik,Benzin,150 kW (204 PS),1l/100km,216g CO2/km (komb)*,45.049
Land Rover,Discovery Sport,73.818 km,05/2019,Automatik,Benzin,177 kW (241 PS),9l/100km,0g CO2/km (WLTP,25.749
Dacia,Logan,45.845 km,03/2019,Manuell,Benzin,54 kW (73 PS),2l/100km,117g CO2/km (komb)*,11.549
Land Rover,Range Rover Velar,55.000 km,11/2019,Automatik,Benzin,405 kW (551 PS),3l/100km,0g CO2/km (WLTP,64.349
Mercedes-Benz,Vito,62.087 km,05/2019,Automatik,Diesel,120 kW (163 PS),9l/100km,0g CO2/km (WLTP,42.449
Ford,Kuga,61.200 km,12/2019,Manuell,Benzin,110 kW (150 PS),8l/100km,177g CO2/km (komb)*,19.449
Ford,EcoSport,78.366 km,05/2019,Manuell,Benzin,92 kW (125 PS),3l/100km,0g CO2/km (WLTP,15.449
Land Rover,Range Rover Evoque,59.190 km,10/2019,Automatik,Benzin,183 kW (249 PS),8l/100km,0g CO2/km (WLTP,41.249
Land Rover,Range Rover Velar,75.859 km,10/2019,Automatik,Diesel,202 kW (275 PS),8l/100km,0g CO2/km (WLTP,45.449
